month,yield
2008-03,0.021489
2008-04,0.02075
2008-05,0.020363
2008-06,0.021405
2008-07,0.022871
2008-08,0.022477
2008-09,0.023707
2008-10,0.029621
2008-11,0.032324
2008-12,0.032351
2009-01,0.032364
2009-02,0.034321
2009-03,0.036004
2009-04,0.031484
2009-05,0.028974
2009-06,0.027631
2009-07,0.026743
2009-08,0.024228
2009-09,0.022881
2009-10,0.02192
2009-11,0.021053
2009-12,0.020182
2010-01,0.019794
2010-02,0.020263
2010-03,0.01901
2010-04,0.01833
2010-05,0.019549
2010-06,0.020344
2010-07,0.020507
2010-08,0.020461
2010-09,0.019918
2010-10,0.019185
2010-11,0.018854
2010-12,0.018308
2011-01,0.017903
2011-02,0.017558
2011-03,0.017961
2011-04,0.017824
2011-05,0.01796
2011-06,0.018908
2011-07,0.018578
2011-08,0.021007
2011-09,0.02145
2011-10,0.021203
2011-11,0.021211
2011-12,0.021258
2012-01,0.020557
2012-02,0.019995
2012-03,0.019687
2012-04,0.01996
2012-05,0.020873
2012-06,0.021398
2012-07,0.021138
2012-08,0.020782
2012-09,0.0205
2012-10,0.020965
2012-11,0.022013
2012-12,0.021972
2013-01,0.021303
2013-02,0.021043
2013-03,0.020705
2013-04,0.020689
2013-05,0.020053
2013-06,0.020553
2013-07,0.020164
2013-08,0.020372
2013-09,0.020389
2013-10,0.020114
2013-11,0.019508
2013-12,0.019355
2014-01,0.019427
2014-02,0.019712
2014-03,0.019442
2014-04,0.01964
2014-05,0.019577
2014-06,0.019198
2014-07,0.019132
2014-08,0.019434
2014-09,0.01931
2014-10,0.020032
2014-11,0.019135
2014-12,0.019199
2015-01,0.019671
2015-02,0.01938
2015-03,0.01962
2015-04,0.019629
2015-05,0.019617
2015-06,0.019883
2015-07,0.020054
2015-08,0.020714
2015-09,0.021863
2015-10,0.021139
2015-11,0.020713
2015-12,0.021124
2016-01,0.022701
2016-02,0.022955
2016-03,0.021702
2016-04,0.021235
2016-05,0.021431
2016-06,0.021335
2016-07,0.020778
2016-08,0.020655
2016-09,0.02087
2016-10,0.021117
2016-11,0.021005
2016-12,0.020342
2017-01,0.020186
2017-02,0.019809
2017-03,0.019596
2017-04,0.019777
2017-05,0.019596
2017-06,0.0194
2017-07,0.01937
2017-08,0.019483
2017-09,0.019323
2017-10,0.018938
2017-11,0.018768
2017-12,0.018365
2018-01,0.017667
2018-02,0.018351
2018-03,0.0185
2018-04,0.018966
2018-05,0.018753
2018-06,0.018513
2018-07,0.018413
2018-08,0.018157
2018-09,0.018039
2018-10,0.018959
2018-11,0.019565
2018-12,0.020936
2019-01,0.020767
2019-02,0.019799
2019-03,0.019594
2019-04,0.019051
2019-05,0.019511
2019-06,0.019403
2019-07,0.018844
2019-08,0.019617
2019-09,0.019187
2019-10,0.01933
2019-11,0.018648
2019-12,0.018333
2020-01,0.017902
2020-02,0.018043
2020-03,0.022463
2020-04,0.021584
2020-05,0.02043
2020-06,0.019223
2020-07,0.018519
2020-08,0.017433
2020-09,0.017486
2020-10,0.017158
2020-11,0.016475
2020-12,0.015771
2021-01,0.015305
2021-02,0.014896
2021-03,0.014738
2021-04,0.013936
2021-05,0.013865
2021-06,0.013652
2021-07,0.013367
2021-08,0.013199
2021-09,0.013329
2021-10,0.013369
2021-11,0.012859
2021-12,0.01292
2022-01,0.01332
2022-02,0.013852
2022-03,0.014112
2022-04,0.014268
2022-05,0.015676
2022-06,0.01642
2022-07,0.016477
2022-08,0.015603
2022-09,0.016964
2022-10,0.017673
2022-11,0.016946
2022-12,0.017105
2023-01,0.017005
2023-02,0.016614
2023-03,0.017188
2023-04,0.01659
2023-05,0.016532
2023-06,0.015812
2023-07,0.015286
2023-08,0.015505
2023-09,0.01572
2023-10,0.016312
2023-11,0.015689
2023-12,0.015006
2024-01,0.014635
2024-02,0.014096
2024-03,0.013698
2024-04,0.013928
2024-05,0.013675
2024-06,0.013292
2024-07,0.013082
2024-08,0.013312
2024-09,0.013058
2024-10,0.012754
2024-11,0.012539
